graph_type,n,seed,original_node_count,original_edge_count,original_density,sampling_method,sampling_rate,sampled_node_count,sampled_edge_count,pagerank_runtime_full_sec,pagerank_runtime_sampled_sec,connected_components_runtime_full_sec,connected_components_runtime_sampled_sec,pagerank_top10_overlap_count,pagerank_top10_overlap_pct,edge_retention_pct,density_change_pct,connected_component_count_diff,pagerank_runtime_saved_pct,cc_runtime_saved_pct,full_connected_component_count,sampled_connected_component_count
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_walk,0.25,250,449,0.0025885830000000887,0.0009427920000000256,0.00022300000000008424,5.6374999999775355e-05,1,10.0,14.966666666666667,140.18795180722893,0,63.57883830651776,74.71973094181432,1,1
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_walk,0.5,500,1116,0.0025885830000000887,0.0013698749999999649,0.00022300000000008424,0.00011408300000015359,2,20.0,37.2,48.94909819639278,0,47.08012066833793,48.84170403582489,1,1
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_walk,0.75,750,1921,0.0025885830000000887,0.002100791999999796,0.00022300000000008424,0.00016725000000006318,5,50.0,64.03333333333333,13.875033377837118,0,18.843938942667705,25.0,1,1
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_edge,0.25,2464,2250,0.007128750000000128,0.003595666000000275,0.0007292500000000146,0.0006002500000001909,1,10.0,25.0,-62.93767894711865,335,49.56105909170317,17.689406924898336,1,336
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_edge,0.5,2941,4500,0.007128750000000128,0.02855199999999991,0.0007292500000000146,0.0006806250000002123,1,10.0,50.0,-47.97340901678591,8,-300.5190250745137,6.66780939318496,1,9
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_edge,0.75,2999,6750,0.007128750000000128,0.0062072500000001085,0.0007292500000000146,0.0006638749999998694,3,30.0,75.0,-24.94996664442962,0,12.926529896545718,8.964689749762615,1,1
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_node,0.25,750,559,0.007128750000000128,0.0017164169999999146,0.0007292500000000146,0.0002619999999997624,1,10.0,6.211111111111111,-0.5227117638332692,286,75.92260915307895,64.0726774083295,1,287
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_node,0.5,1500,2244,0.007128750000000128,0.0029407500000000475,0.0007292500000000146,0.00034658300000023345,1,10.0,24.933333333333334,-0.23340004447409343,62,58.748027354024266,52.47404868011978,1,63
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_node,0.75,2250,5070,0.007128750000000128,0.0046052919999999276,0.0007292500000000146,0.00046983299999991956,2,20.0,56.333333333333336,0.15928066795118384,4,35.39832368928852,35.57312307166127,1,5
watts_strogatz,3000,1435,3000,9000,0.0020006668889629878,random_walk,0.25,750,1541,0.007128750000000128,0.0018203339999995904,0.0007292500000000146,0.00017866700000013225,1,10.0,17.122222222222224,174.2298768728675,0,74.4648921620262,75.49989715459326,1,1
